WORD,WORDDEF
benison,a spoken blessing
bent,a relatively permanent inclination to react in a particular way
benumb,make numb or insensitive
bequeath,leave or give by will after one's death
bequest,(law) a gift of personal property by will
berate,censure severely or angrily
bereave,deprive through death
bereavement,state of sorrow over the death or departure of a loved one
bereft,"unhappy in love, suffering from unrequited love"
berserk,one of the ancient Norse warriors legendary for working themselves into a frenzy before a battle and fighting with reckless savagery and insane fury
beseech,ask for or request earnestly
beset,assail or attack on all sides:
besiege,"harass, as with questions or requests"
besmirch,smear so as to make dirty or stained
bespeak,be a signal for or a symptom of
bestial,"resembling a beast, showing lack of human sensibility"
bestow,bestow a quality on
bete noire,a detested person
bethink,cause oneself to consider something
betide,"become of, happen to"
betoken,indicate by signs
betray,reveal unintentionally
betroth,give to in marriage
beverage,any liquid suitable for drinking
beware,"be on one's guard, be cautious or wary about, be alert to"
bewilder,be a mystery or bewildering to
bewilderment,confusion resulting from failure to understand
bewitch,"attract, cause to be enamored"
bibulous,given to or marked by the consumption of alcohol
bicameral,composed of two legislative bodies
bicker,argue over petty things
biennial,occurring every second year
bifocal,having two foci
bifurcate,divide into two branches
bifurcated,divided into or made up of two parts
bigamist,someone who marries one person while already legally married to another
bigamy,the offense of marrying someone while you have a living spouse from whom no valid divorce has occurred
bigotry,the intolerance and prejudice of a bigot
bilateral,having two sides or parts
bilge,take in water at the bilge
bilingual,using or knowing two languages
bilious,irritable as if suffering from indigestion
billingsgate,foul-mouthed or obscene abuse
bimonthly,occurring twice a month
binoculars,an optical instrument designed for simultaneous use by both eyes
bipartisan,supported by both sides
biped,having two feet
biplane,"old fashioned airplane, has two wings one above the other"
bisect,cut in half or cut in two
bitter,the property of having a harsh unpleasant taste
bivalve,marine or freshwater mollusks having a soft body with platelike gills enclosed within two shells hinged together
bivouac,a site where people on holiday can pitch a tent
bizarre,conspicuously or grossly unconventional or unusual
blame,harass with constant criticism
blanch,cook (vegetables) briefly
bland,lacking taste or flavor or tang
blandishment,the act of urging by means of teasing or flattery
blase,alternative spelling of blasé.
blasphemous,characterized by profanity or cursing
blasphemy,blasphemous language (expressing disrespect for God or for something sacred)
blatant,"conspicuously and offensively loud, given to vehement outcry"
blazon,decorate with heraldic arms
bleak,offering little or no hope
blend,the act of blending components together thoroughly
blight,any plant disease resulting in withering without rotting
blighted,"affected by blight, anything that mars or prevents growth or prosperity"
bliss,a state of extreme happiness
blithe,lacking or showing a lack of due concern
blizzard,a storm with widespread snowfall accompanied by strong winds
bloated,"Much bigger than desired:  a bloated bureaucracy, a bloated budget."
blockade,obstruct access to
bludgeon,overcome or coerce as if by using a heavy club
blunder,make one's way clumsily or blindly
blurt,utter impulsively
blush,become rosy or reddish
bluster,a swaggering show of courage
bode,indicate by signs
bogus,"fraudulent, having a misleading appearance"
boisterous,full of rough and exuberant animal spirits
bolster,support and strengthen
bombast,pompous or pretentious talk or writing
bombastic,ostentatiously lofty in style
bon jour,"Good day, good morning."
bon vivant,a person devoted to refined sensuous enjoyment (especially good food and drink)
bona fide,not counterfeit or copied
bonanza,a sudden happening that brings good fortune (as a sudden opportunity to make money)
bondage,the state of being under the control of another person
bonus,an additional payment (or other remuneration) to employees as a means of increasing output
